通番,英単語,日本語訳,品詞
1,banana,バナナ,名詞
2,melon,メロン,名詞
3,orange,オレンジ,名詞
4,pineapple,パイナップル,名詞
5,lemon,レモン,名詞
6,tomato,トマト,名詞
7,potato,ポテト,名詞
8,fruit,くだもの,名詞
9,milk,ミルク,名詞
10,coffee,コーヒー,名詞
11,juice,ジュース,名詞
12,soup,スープ,名詞
13,bottle,ボトル,名詞
14,cup,カップ,名詞
15,glass,グラス,名詞
16,cafe,カフェ,名詞
17,cookie,クッキー,名詞
18,cake,ケーキ,名詞
19,pie,パイ,名詞
20,ice cream,アイスクリーム,名詞
21,candy,キャンディー,名詞
22,chocolate,チョコレート,名詞
23,donut,ドーナツ,名詞
24,dessert,デザート,名詞
25,yogurt,ヨーグルト,名詞
26,ham,ハム,名詞
27,cheese,チーズ,名詞
28,pizza,ピザ,名詞
29,steak,ステーキ,名詞
30,spaghetti,スパゲッティー,名詞
31,hamburger,ハンバーガー,名詞
32,sandwich,サンドイッチ,名詞
33,panda,パンダ,名詞
34,koala,コアラ,名詞
35,kangaroo,カンガルー,名詞
36,penguin,ペンギン,名詞
37,gorilla,ゴリラ,名詞
38,lion,ライオン,名詞
39,hamster,ハムスター,名詞
40,pet,ペット,名詞
41,sport,スポーツ,名詞
42,ski,スキー,名詞
43,skate,スケート,名詞
44,soccer,サッカー,名詞
45,tennis,テニス,名詞
46,golf,ゴルフ,名詞
47,ball,ボール,名詞
48,team,チーム,名詞
49,piano,ピアノ,名詞
50,guitar,ギター,名詞
51,violin,バイオリン,名詞
52,flute,フルート,名詞
53,trumpet,トランペット,名詞
54,drum,ドラム,名詞
55,concert,コンサート,名詞
56,ticket,チケット,名詞
57,pen,ペン,名詞
58,crayon,クレヨン,名詞
59,camera,カメラ,名詞
60,headphone,ヘッドホン,名詞
61,computer,コンピューター,名詞
62,bag,バッグ,名詞
63,coat,コート,名詞
64,pocket,ポケット,名詞
65,vegetable,やさい,名詞
66,apple,りんご,名詞
67,grape,ぶどう,名詞
68,peach,もも,名詞
69,strawberry,いちご,名詞
70,watermelon,すいか,名詞
71,cherry,さくらんぼ,名詞
72,onion,たまねぎ,名詞
73,carrot,にんじん,名詞
74,cabbage,キャベツ,名詞
75,cucumber,きゅうり,名詞
76,pumpkin,かぼちゃ,名詞
77,green pepper,ピーマン,名詞
78,corn,とうもろこし,名詞
79,lettuce,レタス,名詞
80,mushroom,きのこ,名詞
81,food,たべもの,名詞
82,drink,のみもの,名詞
83,chicken,とりにく,名詞
84,pork,ポーク,ぶたにく,名詞
85,beef,ぎゅうにく,名詞
86,egg,たまご,名詞
87,bread,パン,名詞
88,toast,トースト,名詞
89,rice,ごはん,名詞
90,breakfast,あさごはん,名詞
91,lunch,ひるごはん,名詞
92,dinner,ゆうごはん,名詞
93,salt,しお,名詞
94,pepper,こしょう,名詞
95,sugar,さとう,名詞
96,water,みず,名詞
97,animal,どうぶつ,名詞
98,cat,ねこ,名詞
99,dog,いぬ,名詞
100,monkey,さる,名詞
101,mouse,ねずみ,名詞
102,horse,うま,名詞
103,pig,ぶた,名詞
104,rabbit,うさぎ,名詞
105,bear,くま,名詞
106,tiger,とら,名詞
107,fox,きつね,名詞
108,elephant,ぞう,名詞
109,fish,さかな,名詞
110,bird,とり,名詞
111,zoo,どうぶつえん,名詞
112,aquarium,すいぞくかん,名詞
113,body,からだ,名詞
114,face,かお,名詞
115,eye,め,名詞
116,nose,はな,名詞
117,mouth,くち,名詞
118,tooth,は(ひとつ),名詞
119,teeth,は(ふくすう),名詞
120,ear,みみ,名詞
121,head,あたま,名詞
122,hair,かみ,名詞
123,arm,うで,名詞
124,hand,て,名詞
125,finger,ゆび,名詞
126,shoulder,かた,名詞
127,leg,あし,名詞
128,foot,あし(ひとつ),名詞
129,feet,あし(ふくすう),名詞
130,toe,つまさき,名詞
131,shirt,シャツ,名詞
132,sweater,セーター,名詞
133,pants,ズボン,名詞
134,skirt,スカート,名詞
135,jacket,ジャケット,名詞
136,hat,ぼうし,名詞
137,shoes,くつ,名詞
138,socks,くつした,名詞
139,color,いろ,名詞
140,red,あか,名詞
141,blue,あお,名詞
142,yellow,きいろ,名詞
143,green,みどり,名詞
144,pink,ピンク,名詞
145,black,くろ,名詞
146,white,しろ,名詞
147,school,がっこう,名詞
148,class,クラス,名詞
149,student,せいと,名詞
150,classmate,クラスメイト,名詞
151,teacher,せんせい,名詞
152,classroom,きょうしつ,名詞
153,name,なまえ,名詞
154,blackboard,こくばん,名詞
155,pencil,えんぴつ,名詞
156,eraser,けしゴム,名詞
157,dictionary,じしょ,名詞
158,book,ほん,名詞
159,story,おはなし,名詞
160,notebook,ノート,名詞
161,textbook,きょうかしょ,名詞
162,homework,しゅくだい,名詞
163,elementary school,しょうがっこう,名詞
164,junior high school,ちゅうがっこう,名詞
165,subject,かもく,名詞
166,math,さんすう,名詞
167,number,かず,名詞
168,science,りか,名詞
169,english,えいご,名詞
170,japanese,こくご,名詞
171,music,おんがく,名詞
172,P.E.,たいいく,名詞
173,gym,たいいくかん,名詞
174,schoolyard,こうてい,名詞
175,sports day,うんどうかい,名詞
176,field trip,えんそく,名詞
177,lunch box,べんとうばこ,名詞
178,club,クラブ,名詞
179,people,ひとびと,名詞
180,man,おとこのひと,名詞
181,woman,おんなのひと,名詞
182,boy,おとこのこ,名詞
183,girl,おんなのこ,名詞
184,friend,ともだち,名詞
185,doctor,いし,名詞
186,dentist,しかい,名詞
187,nurse,かんごし,名詞
188,engineer,エンジニア,名詞
189,musician,おんがくか,名詞
190,singer,かしゅ,名詞
191,pilot,パイロット,名詞
192,baseball player,やきゅうせんしゅ,名詞
193,police officer,けいさつかん,名詞
194,driver,うんてんしゅ,名詞
195,astronaut,うちゅうひこうし,名詞
196,cook,りょうりにん,名詞
197,designer,デザイナー,名詞
198,farmer,のうか,名詞
199,house,いえ,名詞
200,home,かてい,名詞
201,apartment,マンション,名詞
202,address,じゅうしょ,名詞
203,room,へや,名詞
204,door,ドア,名詞
205,floor,ゆか,名詞
206,wall,かべ,名詞
207,window,まど,名詞
208,curtain,カーテン,名詞
209,table,テーブル,名詞
210,desk,つくえ,名詞
211,chair,いす,名詞
212,sofa,ソファ,名詞
213,bed,ベッド,名詞
214,bedroom,しんしつ,名詞
215,TV,テレビ,名詞
216,telephone,でんわ,名詞
217,newspaper,しんぶん,名詞
218,living room,リビングルーム,名詞
219,bathroom,バスルーム,名詞
220,soap,せっけん,名詞
221,spoon,スプーン,名詞
222,fork,フォーク,名詞
223,knife,ナイフ,名詞
224,chopsticks,はし,名詞
225,dish,さら,名詞
226,towel,タオル,名詞
227,kitchen,キッチン,名詞
228,drawer,ひきだし,名詞
229,garden,にわ,名詞
230,smartphone,スマートフォン,名詞
231,e-mail,でんしメール,名詞
232,box,はこ,名詞
233,comic book,まんが,名詞
234,umbrella,かさ,名詞
235,wallet,さいふ,名詞
236,money,おかね,名詞
237,card,カード,名詞
238,present,プレゼント,名詞
239,family,かぞく,名詞
240,father,おとうさん,名詞
241,mother,おかあさん,名詞
242,brother,あに/おとうと,名詞
243,sister,あね/いもうと,名詞
244,uncle,おじさん,名詞
245,aunt,おばさん,名詞
246,cousin,いとこ,名詞
247,grandfather,おじいさん,名詞
248,grandmother,おばあさん,名詞
249,parent,おや,名詞
250,son,むすこ,名詞
251,daughter,むすめ,名詞
252,husband,おっと,名詞
253,wife,つま,名詞
254,mom,ママ,名詞
255,dad,パパ,名詞
256,child,こども,名詞
257,children,こどもたち,名詞
258,baby,あかちゃん,名詞
